Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0.12209821710375005,0.013023853736748763,0.7354749614531914,0.007179669021649337,0.06597562809753592,3.239907981673181E-4,8.411959308622024E-4,5.09314632527743E-4,0.009990608246409753,0.003407735489576032,0.008211952282646224,0.012479752290440665,145744.88,0.0,0.006584999761226604,0.001767334811349805,0.012130786343918221,01779785,19,1084180812,00,IA,19,A,+42.0700243,4,2,Iowa,-093.4933473,G4000,144661267977,00000000000000000036
0.08641437846735595,0.010248434585638263,0.004890928922738365,0.0011299507050838218,0.7744047282325935,0.005473831147981154,0.002165406872286568,0.011394320288678421,0.016052757591233837,0.05918051086009947,0.00742889604724408,0.010889340203442116,62754.95000000001,0.0,0.007111311537974294,0.0019826324457273884,0.001232572091922629,01779805,54,489028543,00,WV,54,A,+38.6472854,5,3,West Virginia,-080.6183274,G4000,62266474513,00000000000000000000
0.10389487376242586,0.020331290546062194,0.0577571539838585,0.08556846669129432,6.260005970141881E-4,0.030202838422055164,0.0037438916141143462,0.1683247225668482,0.04651860001407575,0.003383472373042028,0.16894431440411084,0.038814918016969804,170079.71000000002,0.0,0.0281417460083863,0.0071095488109663395,0.23663816218877604,00294478,12,31361101223,00,FL,12,A,+28.4574302,5,3,Florida,-082.4091477,G4000,138949136250,00000000000000000001
0.08357358659341677,0.0029636509241256184,0.17739887809534538,0.02505750982981572,0.2015441362071804,0.0018160998889175577,0.0020003554389157055,0.016151928660732933,0.05649860298811458,0.04985388721630636,0.21921399445801631,0.0419312098088691,32129.290000000005,0.0,0.024832170272047715,0.0087437350778682,0.08842025454032752,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
0.07657176679490973,0.01834589756696889,0.1432543607127804,0.011478956478068642,0.18724657644811538,0.02031169343628651,0.0020861111858448346,0.13036591424753602,0.050949196014599976,0.08265820083044113,0.09687284206372694,0.025122297254880858,139383.75,0.0,0.01252685481628956,0.003779278430950523,0.13843005371860065,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
0.007974234225289182,0.0015576130665739957,0.34253835079183836,0.05163704512733951,0.03199002134736633,0.0012876681725661522,0.0022929801916298466,0.024381919277168245,0.051359343196147544,0.024226778533485576,0.21919835674924293,0.04349991312118354,6445.76,0.0,0.03211413394231247,0.011407498882986646,0.15453414337486968,01779781,10,1399985648,00,DE,10,A,+38.9985661,5,3,Delaware,-075.4416440,G4000,5045925646,0000000000000000000b
0.07388133996585668,0.03901939790864733,0.1327461326271625,0.01464774650103811,0.13190333572399765,0.03595736361225182,0.0019558917877625444,0.2508013100615434,0.0381592525533088,0.04561323919513057,0.026014491350529564,0.025991165154535718,153904.22000000003,0.0,0.01173710506443553,0.005325390038037943,0.1662468384557616,01705317,13,4422936154,00,GA,13,A,+32.6295789,5,3,Georgia,-083.4235109,G4000,149482048342,00000000000000000015
0.0688019483464336,0.03796125114100618,0.09909168189616413,0.03014716808540613,0.07907582842354922,0.03642366692847895,0.0019123311648587473,0.2552357227080009,0.0397881877637823,0.0412920001235085,0.06095783246459264,0.026869127316025424,82909.27999999998,0.0,0.012482197409023456,0.00410870773452622,0.20585234849464382,01779799,45,5075218778,00,SC,45,A,+33.8741776,5,3,South Carolina,-080.8542639,G4000,77864918488,0000000000000000001b
0.15273077830939116,0.026658187731389855,0.05759170857616622,0.007936048728904398,0.3162211991134127,0.019586611285799842,0.0016044685011917296,0.08536629948183114,0.03158686222377077,0.1353339167490715,0.07678142264679082,0.024153501825844532,110784.35,0.0,0.012829971020274973,0.003970777460895875,0.04764824634526447,01779803,51,8528531774,00,VA,51,A,+37.5222512,5,3,Virginia,-078.6681938,G4000,102257717110,00000000000000000034
0.0,8.473618800135577E-4,3.95435544006327E-4,0.001581742176025308,0.08592249463337476,0.0,0.0011863066320189808,0.0,0.10625917975370014,0.001581742176025308,0.10213535193763415,0.1979437351711671,177.02,0.0,0.35634391594170145,0.1347305389221557,0.011072195232177154,01702382,11,18687198,00,DC,11,A,+38.9041031,5,3,District of Columbia,-077.0172290,G4000,158340391,00000000000000000035
