Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
16920.18,2953.31,6380.26,879.19,35032.36,2169.89,177.75,9457.25,3499.33,14992.88,8506.18,2675.83,110784.35,0,1421.36,439.9,5278.68,01779803,51,8528531774,00,VA,51,A,+37.5222512,5,3,Virginia,-078.6681938,G4000,102257717110,00000000000000000034
0,0.15,0.07,0.28,15.21,0,0.21,0,18.81,0.28,18.08,35.04,177.02,0,63.08,23.85,1.96,01702382,11,18687198,00,DC,11,A,+38.9041031,5,3,District of Columbia,-077.0172290,G4000,158340391,00000000000000000035
19380.11,4871.77,6486.05,545.61,24027.56,4897.36,315.51,35284.96,3845.76,12065.93,4668.34,2199.29,135765.59,0,1111.25,314.46,15751.63,01779775,01,4593327154,00,AL,01,A,+32.7396323,6,3,Alabama,-086.8434593,G4000,131174048583,00000000000000000016
24155.22,1073.25,12334.92,91.03,45347.96,737.64,130.62,3906.87,3633.84,7529.44,2529.77,2399.32,109151.91,0,1420.81,531.58,3329.64,01325873,47,2350123465,00,TN,47,A,+35.8608030,6,3,Tennessee,-086.3499896,G4000,106802728188,0000000000000000001d
25049.97,579.14,13722.16,149.69,49896.15,422.03,187.28,649.41,2264.69,6089.92,1891.02,1311.45,104654.30000000002,0,891.27,364.88,1185.24,01779786,21,2375337755,00,KY,21,A,+37.5336844,6,3,Kentucky,-085.2929801,G4000,102279490672,00000000000000000021
16304.86,2842.33,17665.96,945.99,11657.71,3751.1,202.75,27593.44,2452.34,14264.45,4309.33,1379.61,125437.95,0,723.22,203.77,21141.09,01779790,28,3926919758,00,MS,28,A,+32.6864714,6,3,Mississippi,-089.6561377,G4000,121533519481,0000000000000000002c
8425.77,2398.66,20127.82,13092.48,669.82,3212.9,217.41,27579.63,1641.82,1531.8,23224.27,2850.75,134252.44,0,1193.56,457.27,27628.48,01629543,22,23753621895,00,LA,22,A,+30.8634368,7,3,Louisiana,-091.7987173,G4000,111897594374,00000000000000000014
74632.65,99724.41,86492.11,6992.45,15235.51,293807.31,1861.9,40347.05,8483.76,12405.71,16833.05,7853.27,695521.74,0,8454.5,3168.16,19229.9,01779801,48,19006305260,00,TX,48,A,+31.4347032,7,3,Texas,-099.2818238,G4000,676653171537,00000000000000000019
23199.27,64807.85,31338.56,394.25,31258.05,9880.48,326.06,5702.03,3146.13,3663.35,3142.52,1328.46,181037.02,0,1193.27,434.24,1222.5,01102857,40,3374587997,00,OK,40,A,+35.5900512,7,3,Oklahoma,-097.4868149,G4000,177662925723,0000000000000000001c
20464.89,2935.73,29569.17,398.28,27672.35,2995.27,186.35,24286.71,1849.7,7717.6,3010.52,1603.39,137731.03,0,750.42,266.35,14024.3,00068085,05,2962859592,00,AR,05,A,+34.8955256,7,3,Arkansas,-092.4446262,G4000,134768872727,0000000000000000002b
